Name,Age,Club,Overall,Potential,Position,Player Value
Player 1,27.52777777777778,PSG,82,83,GK,71.01
Player 2,37.0,PSG,88,93,RW,82.27
Player 3,32.0,Man City,70,71,ST,12.01086956521739
Player 4,28.0,Juventus,77,77,ST,85.94
Player 5,25.0,Bayern Munich,71,76,No,108.06
Player 6,27.52777777777778,Real Madrid,68,69,RW,75.27
Player 7,24.0,Barcelona,69,73,ST,65.23
Player 8,36.0,Free Agent,76,78,LW,53.21
Player 9,28.0,Juventus,66,66,RW,69.72
Player 10,28.0,PSG,72,73,ST,43.29
Player 11,38.0,Man City,68,68,LW,47.59
Player 12,21.0,Man City,86,86,CM,64.29
Player 13,25.0,Real Madrid,61,66,ST,8.93
Player 14,20.0,PSG,64,69,RW,28.25
Player 15,39.0,Juventus,88,90,CB,65.6
Player 16,38.0,Free Agent,78,82,No,37.506521739130434
Player 17,19.0,PSG,67,67,CB,40.61
Player 18,29.0,Real Madrid,60,61,LW,87.94
Player 19,23.0,Real Madrid,81,84,CM,83.55
Player 20,19.0,PSG,76,76,GK,20.84
Player 21,38.0,Free Agent,66,66,CM,105.56
Player 22,18.0,PSG,84,86,ST,59.96
Player 23,29.0,Barcelona,63,67,CB,89.23
Player 24,39.0,PSG,65,68,CB,69.2
Player 25,29.0,PSG,90,95,RW,119.73
Player 26,34.0,Free Agent,78,83,CB,90.54
Player 27,27.0,Real Madrid,86,87,RW,85.13
Player 28,27.52777777777778,Man City,69,72,LW,93.65
Player 29,32.0,Man City,85,90,GK,18.03
Player 30,32.0,Barcelona,78,79,ST,25.34
Player 31,36.0,Man City,62,66,No,85.97
Player 32,29.0,PSG,72,73,GK,22.209130434782608
Player 33,37.0,Real Madrid,87,92,CB,90.8
Player 34,20.0,Man City,79,81,No,13.25
Player 35,22.0,Man City,87,89,GK,64.84
Player 36,36.0,Barcelona,67,69,CB,2.45
Player 37,24.0,Juventus,60,65,LW,55.38
Player 38,27.52777777777778,Barcelona,62,64,LW,72.87
Player 39,26.0,PSG,72,75,GK,60.77
Player 40,24.0,Real Madrid,87,91,RW,65.24
Player 41,35.0,Barcelona,84,85,RW,58.88
Player 42,21.0,Man City,92,93,GK,49.67
Player 43,31.0,Free Agent,65,70,RW,92.85
Player 44,35.0,Real Madrid,91,93,RW,2.45
Player 45,26.0,Man City,80,82,LW,72.21
Player 46,38.0,Barcelona,75,75,RW,68.3
Player 47,19.0,Man City,80,84,CM,86.23
Player 48,37.0,Juventus,70,73,ST,72.28
Player 49,32.0,Real Madrid,94,95,CB,99.39
Player 50,24.0,Free Agent,78,78,CM,115.13
Player 51,29.0,Bayern Munich,79,79,RW,41.76
Player 52,25.0,PSG,77,82,LW,28.05
Player 53,32.0,Man City,73,74,GK,51.41
Player 54,20.0,Man City,74,79,RW,88.49782608695654
Player 55,31.0,Free Agent,90,93,LW,74.18
Player 56,34.0,PSG,60,60,ST,109.51
Player 57,21.0,PSG,62,62,No,17.55
Player 58,35.0,Real Madrid,75,79,GK,27.945652173913043
Player 59,25.0,Juventus,82,85,LW,31.47
Player 60,21.0,Man City,70,70,LW,87.41
Player 61,19.0,Real Madrid,71,74,LW,71.56
Player 62,23.0,PSG,69,70,ST,13.16
Player 63,27.52777777777778,Man City,91,93,RW,110.33
Player 64,27.0,Real Madrid,75,75,ST,95.02
Player 65,21.0,Free Agent,67,71,CB,3.74
Player 66,27.52777777777778,Real Madrid,71,72,CB,78.51
Player 67,27.52777777777778,Juventus,83,86,RW,92.78
Player 68,29.0,PSG,87,92,No,45.56
Player 69,19.0,Juventus,67,68,GK,9.2
Player 70,27.0,Man City,87,87,LW,10.2
Player 71,21.0,PSG,85,88,LW,117.1804347826087
Player 72,31.0,Man City,67,69,RW,2.45
Player 73,33.0,Bayern Munich,87,88,CB,66.18913043478261
Player 74,32.0,Barcelona,87,87,CB,15.61
Player 75,25.0,Juventus,86,90,LW,94.87173913043478
Player 76,31.0,Barcelona,76,81,RW,20.7
Player 77,25.0,Barcelona,68,71,ST,23.17
Player 78,27.52777777777778,Free Agent,92,93,CB,100.66
Player 79,33.0,PSG,79,80,ST,40.53
Player 80,30.0,Bayern Munich,72,74,CB,38.06
Player 81,35.0,Man City,87,89,CB,28.06
Player 82,32.0,Real Madrid,88,92,CM,73.34
Player 83,38.0,Man City,72,77,CB,46.14
Player 84,30.0,Real Madrid,94,98,GK,89.57
Player 85,26.0,Free Agent,65,65,No,25.46
Player 86,32.0,Juventus,77,77,RW,94.75
Player 87,30.0,Bayern Munich,64,68,ST,72.84
Player 88,18.0,Real Madrid,84,89,CB,14.6
Player 89,24.0,PSG,61,65,GK,50.33
Player 90,26.0,Man City,69,74,ST,34.31956521739131
Player 91,18.0,Man City,89,94,CM,110.83
Player 92,27.52777777777778,Real Madrid,64,67,ST,56.42
Player 93,25.0,PSG,92,97,ST,58.22
Player 94,28.0,PSG,60,62,CB,110.3
Player 95,36.0,Juventus,77,82,CM,70.86
Player 96,34.0,Juventus,91,96,ST,4.91
Player 97,25.0,Juventus,70,75,GK,109.62
Player 98,20.0,Juventus,80,80,No,30.54
Player 99,20.0,Juventus,85,87,RW,69.74
Player 100,18.0,Juventus,84,86,No,20.7
Player 101,22.0,Bayern Munich,81,85,CM,5.03
Player 102,27.0,PSG,86,89,RW,38.07
Player 103,27.52777777777778,Juventus,72,77,ST,93.88
Player 104,26.0,PSG,92,93,No,34.03
Player 105,24.0,PSG,93,96,GK,27.19
Player 106,26.0,Barcelona,94,97,GK,26.31
Player 107,25.0,Bayern Munich,60,62,CB,62.31
Player 108,29.0,Juventus,80,83,No,117.09
Player 109,19.0,Man City,65,70,ST,55.62
Player 110,18.0,Real Madrid,87,92,RW,67.32
